Code,Mum,Dad
TRK87,UPT82,ROCKY
TUR87,MUS77,OTA76
TYS87,TOR75,RED77
UMB87,MEL76,CPBPT
WEE87,WHE77,NA
WHA87,CUR78,AXISS
WHO87,MYR74,NA
WHS87,BAR79,YTA77
WIG87,TEA76,NA
AUR88,CAN83,NA
AVO88,UPT78,JACKS
BCL88,BUC81,RHY82
BEE88,PET85,CRE80
BUC88,BUL73,YTA77
CFI88,CFU82,JACKS
CRO88,OCH85,SCO78
CWR88,LIM80,TIT79
DIC88,HIC84,YTA77
EBO88,PET83,ROCKY
EOL88,CAN80,NA
FAN88,COL80,FORTS
FEA88,PLO82,MEL79
FID88,VER78,BITES
FOL88,MOD72,RED77
GEM88,POL79,TIT79
HIC88,BLT75,YTA77
INI88,VER79,CRE80
JES88,Jan-84,BITES
LOB88,TOR78,VER81
LUZ88,DOR78,NA
MEA88,BAR84,NA
MEL88,YHO71,ROCKY
MNX88,FUL83,RED77
MUR88,COL79,CHE82
PAP88,CAL82,CRE80
PEN88,BAR80,NA
PEP88,MUS81,NA
PLO88,TRN74,MAD83
RHY88,MOS78,BRF76
SAM88,CAL84,NA
SES88,HAR82,CRE80
SOL88,THO84,TOPIS
SUL88,TER80,SAF82
TNY88,TIT84,RHY82
TRK88,UPT82,JACKS
UMB88,MEL76,NA
VIN88,MUS84,TOPIS
WHE88,UPR74,NA
WHS88,BAR79,YTA77
WIG88,TEA76,OTC76
ANK89,KIL82,TIT79
APN89,ASP78,JACKS
AQU89,COB80,MAC81
BCL89,BUC81,CUR81
BEE89,PET85,ROCKY
BRG89,MUR85,CRE80
CFI89,CFU82,CUR81
CFU89,CMO77,CUR81
CLA89,CLE77,KIW79
DUN89,WHA83,CRE80
FEA89,PLO82,VER81
FID89,VER78,JACKS
FRO89,BIL84,FOL81
FUL89,MAW79,RED77
GAL89,POL77,JACKS
GIN89,Jun-85,CRE80
HIC89,BLT75,VER81
ILE89,CHE80,TIT79
LOB89,TOR78,FOL77
MEA89,BAR84,VER81
MUS89,RED74,JACKS
OAT89,BAR83,RED77
PEL89,MOS83,BRF76
PID89,LIM85,JACKS
PRA89,TER84,RED77
PTN89,LIM83,TIT79
SES89,HAR82,OCH83
SUN89,RHY86,VIC80
SWI89,TER83,Sep-83
THO89,YTA74,BRF76
TYS89,TOR75,RED77
VIO89,CLA85,D0610
WEE89,WHE77,RED77
WHA89,CUR78,ROCKY
WIL89,FUL85,ASP77
ANK90,KIL82,VER81
APH90,THO86,WAVYS
AST90,GAL85,VER81
AVO90,UPT78,RED81
BCL90,BUC81,RED79
BEE90,PET85,NA
BRG90,MUR85,CUR81
CRB90,MOC84,RED77
CRO90,OCH85,RED79
CUC90,UMB80,RED79
CWR90,LIM80,VER81
DAN90,BUC82,VER81
DIC90,HIC84,VER81
DOO90,NON86,KIW79
EBO90,PET83,RHY82
EGR90,IBI84,VIC80
FAN90,COL80,ROCKY
FEN90,RED82,LENOT
FID90,VER78,RHY82
FUL90,MAW79,MEL79
GAL90,POL77,CHE82
GEM90,POL79,SCO81
HAL90,TUR83,TOPIS
HIC90,BLT75,VER81
HRM90,INI86,LIGHT
INI90,VER79,TEA80
JUG90,BRF79,RED79
KIT90,TER85,RED77
KNO90,TRK87,LEN83
