Code,BirthYear,Sex,Mum,BirthWt,AgeAtDeath,MaleLBS,FemaleLBS
ABS04,2004,1, IVO99,6.820000095,0,NA,0
ABS06,2006,1, IVO99,6.839999809,0,NA,0
ADZ80,1980,1, MOY74,4.979999809,0,NA,0
ADZ81,1981,1, MOY74,7.519999809,0,NA,0
ALB91,1991,1, FUL87,5.600000095,0,NA,0
ALB92,1992,2, FUL87,5.039999905,0,0,NA
ALB93,1993,1, FUL87,7.710000191,5,NA,3
ALB94,1994,1, FUL87,6.895,7,NA,3
ALB97,1997,2, FUL87,7.524999905,1,0,NA
ALD93,1993,2, SUR87,7.340000095,14,0,NA
ALD99,1999,2, SUR87,7.225000191,14,10,NA
ANK86,1986,2, KIL82,5.320000095,0,0,NA
ANK89,1989,1, KIL82,7.009999905,14,NA,9
ANK90,1990,1, KIL82,8.380000381,12,NA,5
ANK91,1991,1, KIL82,5.91,7,NA,5
ANK92,1992,1, KIL82,5.64,0,NA,0
ANM02,2002,1, BAC98,6.23,12,NA,6
ANM03,2003,1, BAC98,6.580000191,1,NA,0
APA04,2004,2, SEQ99,6.28,0,0,NA
APA05,2005,1, SEQ99,3.88,0,NA,0
APH90,1990,2, THO86,6.860000095,0,0,NA
APH95,1995,1, THO86,6.620000191,4,NA,1
APH99,1999,2, THO86,8.2,0,0,NA
APN87,1987,2, ASP78,5.974999809,1,0,NA
APN89,1989,1, ASP78,6.42,0,NA,0
AQU89,1989,2, COB80,8.12,1,0,NA
ARA06,2006,2, HED01,4.964999905,1,0,NA
ART00,2000,2, ARI96,7.14,11,10,NA
ART99,1999,2, ARI96,6.220000191,0,0,NA
ASP82,1982,2, TOR72,5.85,0,0,NA
ASP83,1983,2, TOR72,5.220000381,5,0,NA
AST90,1990,1, GAL85,6.359999905,11,NA,5
AST91,1991,2, GAL85,7.450000095,13,13,NA
AST93,1993,2, GAL85,6.039999905,0,0,NA
AST94,1994,1, GAL85,6.940000191,0,NA,0
AST95,1995,2, GAL85,5.440000191,9,2,NA
ATH85,1985,2, THO81,5.100000095,12,0,NA
ATH87,1987,1, THO81,6.360000191,15,NA,7
ATH94,1994,2, THO81,6.98,0,0,NA
AUR88,1988,2, CAN83,7.959999619,0,0,NA
AVO81,1981,1, UPT78,6.725000191,0,NA,0
AVO83,1983,2, UPT78,5.839999809,9,0,NA
AVO84,1984,2, UPT78,8.500000191,12,27,NA
AVO86,1986,2, UPT78,7.160000381,0,0,NA
AVO88,1988,1, UPT78,5.259999809,0,NA,0
AVO90,1990,1, UPT78,5.42,13,NA,9
AVO92,1992,2, UPT78,5.14,0,0,NA
BAC03,2003,2, PTN93,5.325000095,1,0,NA
BAC97,1997,2, PTN93,5.539999905,0,0,NA
BAC98,1998,1, PTN93,5.620000191,9,NA,5
BAC99,1999,2, PTN93,5.019999809,0,0,NA
BAR80,1980,1, UPR71,6.919999905,12,NA,9
BAR81,1981,2, UPR71,7.28,1,0,NA
BAR82,1982,2, UPR71,7.875000381,9,10,NA
BAR83,1983,1, UPR71,6.339999809,12,NA,6
BAR84,1984,1, UPR71,6.540000095,10,NA,6
BAR85,1985,2, UPR71,7.32,0,0,NA
BCL84,1984,1, BUC81,6.239999905,8,NA,3
BCL86,1986,2, BUC81,6.159999905,12,0,NA
BCL87,1987,1, BUC81,5.320000095,5,NA,1
BCL88,1988,1, BUC81,7.380000381,0,NA,0
BCL89,1989,1, BUC81,5.040000095,0,NA,0
BCL90,1990,2, BUC81,6.914999809,9,5,NA
BCL91,1991,2, BUC81,6.250000095,1,0,NA
BCL93,1993,1, BUC81,8.019999809,14,NA,11
BCL94,1994,1, BUC81,5.82,0,NA,0
BCL95,1995,1, BUC81,4.280000095,9,NA,3
BCL96,1996,1, BUC81,6.760000191,11,NA,5
BEA00,2000,1, MOO96,4.255000191,16,NA,8
BEA04,2004,1, MOO96,7.479999809,0,NA,0
BEE88,1988,2, PET85,6.580000191,0,0,NA
BEE89,1989,2, PET85,4.680000095,0,0,NA
BEE90,1990,1, PET85,6.419999905,2,NA,0
BEE91,1991,1, PET85,5.120000191,0,NA,0
BET80,1980,1, BLT68,7.380000381,0,NA,0
BIE00,2000,2, CFI94,4.220000191,0,0,NA
BIE01,2001,1, CFI94,5.91,12,NA,7
BIE02,2002,2, CFI94,6.06,1,0,NA
BIE03,2003,2, CFI94,6.28,0,0,NA
BIE04,2004,2, CFI94,5.580000191,0,0,NA
BIE06,2006,1, CFI94,5.860000095,2,NA,0
BIE97,1997,1, CFI94,4.149999905,13,NA,6
BIE99,1999,2, CFI94,4.940000191,0,0,NA
BIG80,1980,1, BIGHE,6.800000381,0,NA,0
BIL84,1984,1, WHO79,5.949999905,15,NA,9
BIS81,1981,1, CIN76,4.979999905,1,NA,0
BIS83,1983,1, CIN76,9.78,0,NA,0
BIS84,1984,2, CIN76,7.260000191,2,0,NA
BLC80,1980,2, BLO72,7.479999809,0,0,NA
BLC82,1982,2, BLO72,6.239999905,0,0,NA
BLO82,1982,1, BLOSS,5.180000095,0,NA,0
BNJ01,2001,1, FDL96,3.44,0,NA,0
BNN00,2000,1, OAT94,7.139999809,0,NA,0
BNN01,2001,1, OAT94,7.180000095,0,NA,0
BNN02,2002,2, OAT94,8.040000381,0,0,NA
BNN98,1998,1, OAT94,6.195000191,0,NA,0
BNN99,1999,1, OAT94,7.839999809,0,NA,0
BNX93,1993,1, FUL89,4.940000191,17,NA,7
BNX94,1994,1, FUL89,5.120000191,13,NA,8
BNX95,1995,1, FUL89,6.500000191,15,NA,5
BNX96,1996,2, FUL89,5.710000095,10,5,NA
BNX98,1998,2, FUL89,7.725000191,1,0,NA
BNX99,1999,2, FUL89,6.150000191,0,0,NA
BON83,1983,2, TBONE,6.379999619,13,2,NA
BOT81,1981,1, GL375,5.925,1,NA,0
BOT84,1984,2, GL375,5.200000191,1,0,NA
BOT85,1985,2, GL375,5.419999905,0,0,NA
BR280,1980,2, BRO70,4.41,0,0,NA
BR281,1981,2, BRO70,6.740000191,0,0,NA
BRA80,1980,1, ELG68,8.720000191,0,NA,0
BRC80,1980,2, BRA72,8.779999619,0,0,NA
BRF82,1982,2, FEE71,6.449999905,1,0,NA
BRG89,1989,1, MUR85,7.119999809,0,NA,0
BRG90,1990,2, MUR85,8.019999809,13,3,NA
BRG94,1994,1, MUR85,7.28,1,NA,0
BRG95,1995,2, MUR85,5.46,1,0,NA
BRG96,1996,2, MUR85,7.500000191,1,0,NA
BRG98,1998,2, MUR85,6.580000191,0,0,NA
BRS02,2002,1, SKI94,4.530000191,0,NA,0
BRY06,2006,2, HIR03,4.5,0,0,NA
BSY04,2004,1, MLN97,6.479999809,6,NA,2
BUC81,1981,1, BUL73,7.339999809,0,NA,11
